StarID	Hip	ProperName	RA	Dec	Mag
69340	95898	 	19.50292601	2.90407568	6.08
69341	95899		19.50339843	55.42237628	6.88
69342	95901		19.50350043	56.64445927	6.92
69343	95902		19.50355977	46.14781228	6.99
69344	95903		19.50379852	-54.93797726	11.33
69345	95905	 	19.50411892	-32.09130942	6.6
69348	95908		19.50481326	33.72851303	6.55
69353	95915		19.50618754	16.71113283	7.29
69355	95919		19.50701871	17.69523606	7.25
69359	95926		19.508818	12.81701919	6.91
69361	95929	 	19.50919855	3.44440006	6.09
69363	95931		19.50957563	56.13618191	6.68
69364	95932	 	19.50960344	-55.11002087	6.29
69366	95935		19.51037221	25.120828	7.35
69368	95937	 	19.51106221	-2.78886135	5.03
69371	95942		19.51140434	-18.32348842	7.32
69373	95944		19.51165003	-8.18646324	7.47
69374	95945		19.51168517	68.74668961	7.35
69376	95947	 	19.51202368	27.9596948	3.05
69379	95951	 	19.51261019	27.9652789	5.12
69380	95952		19.51298324	-16.16679134	7.43
69381	95953	 	19.51300854	36.22853276	6.26
69384	95957		19.51380153	18.2506791	7.47
69388	95962	 	19.51466731	-6.51407984	7.29
69390	95965	 	19.5150105	-21.31218388	6.11
69396	95973		19.51610897	-11.48462495	7.07
69397	95974		19.51616651	-14.5632231	6.93
69400	95978	 	19.51674737	70.98925874	6.06
69401	95979		19.51694458	-73.98517621	7.4
69402	95980		19.51696953	46.33178266	7.17
69406	95987		19.51811419	2.01175831	6.52
69408	95989		19.51821488	48.58212383	7.22
69410	95991		19.51846465	-29.49488737	7.45
69413	95995	 	19.51904011	58.58697665	6.59
69415	95999	 	19.51970638	-68.43388713	5.98
69419	96003	 	19.52043267	55.73188011	6.37
69423	96007		19.52105107	-2.11020565	7.09
69424	96009		19.5211579	33.47077906	6.7
69426	96011		19.52121582	47.48127153	6.87
69427	96012		19.52126836	-25.73691869	7.28
69428	96013		19.52170779	42.98695658	7.18
69429	96014	 	19.5220443	50.30659451	5.55
69431	96016	 	19.52267061	26.61710997	5.89
69433	96018		19.52282748	-46.2729741	6.84
69435	96021		19.52350158	-21.04002201	7.28
69438	96024		19.52374917	11.62794102	7.31
69441	96028		19.52453994	55.26444546	6.84
69446	96034		19.52677127	26.98657023	7.29
69449	96037		19.52716781	17.78323706	8.27
69450	96038		19.52732851	5.02125228	7.45
69452	96044		19.52849381	-19.38645017	7.19
69454	96047		19.52866835	5.76904741	6.95
69458	96052	 	19.52953362	34.45297707	4.74
69470	96065		19.53253801	-54.16521861	6.82
69474	96071		19.5335225	7.48791631	6.8
69475	96072		19.53359294	5.39885442	8.44
69476	96075		19.53383644	20.92943864	7
69482	96081		19.53484004	25.59622539	6.87
69485	96085	 	19.53515686	-11.27498601	7.57
69488	96090		19.53663397	-60.26963654	7.07
69489	96092		19.53685678	9.33428559	7.04
69492	96095		19.53725309	-44.54646647	6.48
69493	96096		19.53772186	-21.51687526	7.19
69496	96100	 	19.53905179	69.66540172	4.68
69503	96111		19.54124981	-30.86938791	6.58
69504	96113	 	19.54179888	-35.45211196	8.71
69508	96121	 	19.54383043	0.57745578	10.43
69511	96124		19.54452335	-28.01798732	7.14
69521	96138		19.54799722	-46.77681088	7.11
69524	96141	 	19.54827503	-53.18560103	5.76
69525	96143		19.5485806	31.2360624	6.7
69534	96154		19.55087707	-30.36274081	6.76
69536	96159		19.55215732	5.02939398	6.61
69541	96164	 	19.55279583	60.15867782	6.3
69547	96171		19.55473646	20.41401959	7.31
69551	96178	 	19.55600951	-45.27168903	5.59
69555	96183		19.55710173	21.84082728	6.89
69556	96184		19.55728723	23.49751327	7.81
69557	96185		19.55761234	33.20131999	6.62
69561	96189		19.55828093	36.02203569	7.35
69565	96195	 	19.56011951	38.76191852	6.61
69566	96196		19.56025535	3.76133443	6.98
69567	96198	 	19.56155668	49.26234659	6
69568	96199		19.56172257	-34.19764015	6.94
69573	96204		19.5627873	5.46576513	6.35
69574	96205		19.56293436	7.91807847	7.44
69577	96209		19.56317192	-63.05820987	7.41
69580	96214		19.56493178	56.45985673	6.87
69584	96220		19.56687023	26.0625784	7.06
69588	96224		19.56727715	12.63632211	8.83
69589	96225		19.56729571	25.80590876	7.38
69592	96229	 	19.56811881	7.37931918	4.45
69593	96231		19.56831131	-56.10004827	7
69595	96234	 	19.56902283	-40.03463308	5.89
69598	96240		19.56939301	-23.01665648	10.11
69599	96241		19.56975816	7.78578906	6.89
69603	96245		19.57058215	25.3525657	7.07
69610	96252		19.57171714	41.92723898	6.68
69612	96254		19.57186235	16.26501333	7.01
69613	96255		19.57194242	-16.37417905	7.05
69614	96256		19.57200202	41.42904477	7.16
69616	96258	 	19.57215572	51.23707706	5.73
69619	96264		19.57366187	71.60552976	6.7
69620	96265		19.57392391	-12.92644835	7.73
69628	96274		19.57609428	-23.85881177	6.51
69629	96275	 	19.57635776	19.77339742	5
69633	96280		19.57706433	18.12806271	7.31
69635	96282		19.57735099	10.95271441	7.06
69638	96285	 	19.57764802	4.58175785	9.36
69639	96286	 	19.57774294	48.16474084	6.79
69641	96288	 	19.57812701	42.41258465	5.34
69643	96292		19.5788648	43.94585769	6.64
69644	96294		19.57924896	16.64167413	7.35
69645	96296		19.57931344	46.46754423	7.23
69646	96297		19.57953788	63.43417949	6.47
69648	96302	 	19.58081072	29.46291111	5.39
69653	96308		19.58206982	11.42408265	7.91
69655	96310		19.58224782	33.79547347	6.64
69658	96313		19.58303621	27.22525224	6.74
69659	96314		19.58325976	-81.75296725	6.63
